crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	9.978190	8393	0.000000
281474976710655.000000	10.605695	8394	0.000000
281474976710655.000000	10.885843	8395	0.000000
281474976710655.000000	10.678806	8396	0.000000
281474976710655.000000	10.417499	8397	0.000000
281474976710655.000000	10.622738	8398	0.000000
281474976710655.000000	11.107782	8399	0.000000
281474976710655.000000	11.252848	8400	0.000000
281474976710655.000000	10.748393	8401	0.000000
281474976710655.000000	10.524589	8402	0.000000
281474976710655.000000	11.091360	8403	0.000000
281474976710655.000000	10.339690	8404	0.000000
281474976710655.000000	10.213837	8405	0.000000
281474976710655.000000	10.093956	8406	0.000000
281474976710655.000000	10.786864	8407	0.000000
281474976710655.000000	10.861363	8408	0.000000
281474976710655.000000	10.763908	8409	0.000000
281474976710655.000000	10.784499	8410	0.000000
281474976710655.000000	10.209680	8411	0.000000
281474976710655.000000	9.963584	8412	0.000000
281474976710655.000000	10.646155	8413	0.000000
281474976710655.000000	10.575132	8414	0.000000
281474976710655.000000	10.589336	8415	0.000000
281474976710655.000000	10.381018	8416	0.000000
281474976710655.000000	10.193960	8417	0.000000
281474976710655.000000	9.979733	8418	0.000000
281474976710655.000000	10.419423	8419	0.000000
281474976710655.000000	10.469105	8420	0.000000
281474976710655.000000	10.644485	8421	0.000000
281474976710655.000000	10.216050	8422	0.000000
281474976710655.000000	9.901370	8423	0.000000
281474976710655.000000	10.118790	8424	0.000000
281474976710655.000000	10.248956	8425	0.000000
281474976710655.000000	10.388016	8426	0.000000
281474976710655.000000	10.463907	8427	0.000000
281474976710655.000000	9.873926	8428	0.000000
281474976710655.000000	10.177447	8429	0.000000
281474976710655.000000	9.946826	8430	0.000000
281474976710655.000000	10.310102	8431	0.000000
281474976710655.000000	10.363816	8432	0.000000
281474976710655.000000	10.378725	8433	0.000000
281474976710655.000000	9.976748	8434	0.000000
281474976710655.000000	9.920835	8435	0.000000
281474976710655.000000	9.898316	8436	0.000000
281474976710655.000000	9.740791	8437	0.000000
281474976710655.000000	10.235888	8438	0.000000
281474976710655.000000	10.225023	8439	0.000000
281474976710655.000000	10.126528	8440	0.000000
281474976710655.000000	9.809899	8441	0.000000
281474976710655.000000	9.929693	8442	0.000000
281474976710655.000000	10.047101	8443	0.000000
281474976710655.000000	9.945390	8444	0.000000
281474976710655.000000	9.699615	8445	0.000000
281474976710655.000000	9.822778	8446	0.000000
281474976710655.000000	10.007645	8447	0.000000
281474976710655.000000	9.858713	8448	0.000000
281474976710655.000000	9.902581	8449	0.000000
281474976710655.000000	9.951471	8450	0.000000
281474976710655.000000	9.982961	8451	0.000000
281474976710655.000000	10.014288	8452	0.000000
281474976710655.000000	9.933822	8453	0.000000
281474976710655.000000	9.596940	8454	0.000000
281474976710655.000000	10.202608	8455	0.000000
281474976710655.000000	9.736556	8456	0.000000
281474976710655.000000	9.950307	8457	0.000000
281474976710655.000000	9.803020	8458	0.000000
281474976710655.000000	9.791775	8459	0.000000
281474976710655.000000	9.635369	8460	0.000000
281474976710655.000000	9.860836	8461	0.000000
281474976710655.000000	9.783082	8462	0.000000
281474976710655.000000	9.852421	8463	0.000000
281474976710655.000000	9.650029	8464	0.000000
281474976710655.000000	9.778688	8465	0.000000
281474976710655.000000	9.605442	8466	0.000000
281474976710655.000000	9.973547	8467	0.000000
281474976710655.000000	9.575273	8468	0.000000
281474976710655.000000	9.693634	8469	0.000000
281474976710655.000000	9.509727	8470	0.000000
281474976710655.000000	9.658933	8471	0.000000
281474976710655.000000	9.621930	8472	0.000000
281474976710655.000000	9.707156	8473	0.000000
281474976710655.000000	9.396002	8474	0.000000
281474976710655.000000	9.635620	8475	0.000000
281474976710655.000000	9.548746	8476	0.000000
281474976710655.000000	9.601085	8477	0.000000
281474976710655.000000	9.388906	8478	0.000000
281474976710655.000000	9.687640	8479	0.000000
281474976710655.000000	9.632924	8480	0.000000
281474976710655.000000	9.519414	8481	0.000000
281474976710655.000000	9.322713	8482	0.000000
281474976710655.000000	9.430882	8483	0.000000
281474976710655.000000	9.486196	8484	0.000000
281474976710655.000000	9.312076	8485	0.000000
281474976710655.000000	9.553185	8486	0.000000
281474976710655.000000	9.476871	8487	0.000000
281474976710655.000000	9.530832	8488	0.000000
281474976710655.000000	9.473655	8489	0.000000
281474976710655.000000	9.224113	8490	0.000000
281474976710655.000000	9.463818	8491	0.000000
281474976710655.000000	9.099217	8492	0.000000
281474976710655.000000	9.455363	8493	0.000000
281474976710655.000000	9.235744	8494	0.000000
281474976710655.000000	9.425998	8495	0.000000
281474976710655.000000	9.094348	8496	0.000000
281474976710655.000000	9.290431	8497	0.000000
281474976710655.000000	9.266710	8498	0.000000
281474976710655.000000	9.206869	8499	0.000000
281474976710655.000000	9.349994	8500	0.000000
281474976710655.000000	9.358975	8501	0.000000
281474976710655.000000	9.301430	8502	0.000000
281474976710655.000000	9.154778	8503	0.000000
281474976710655.000000	9.071402	8504	0.000000
281474976710655.000000	9.391623	8505	0.000000
281474976710655.000000	8.863904	8506	0.000000
281474976710655.000000	9.396632	8507	0.000000
281474976710655.000000	8.896586	8508	0.000000
281474976710655.000000	9.254978	8509	0.000000
281474976710655.000000	8.838734	8510	0.000000
281474976710655.000000	9.296266	8511	0.000000
281474976710655.000000	8.892488	8512	0.000000
281474976710655.000000	9.320026	8513	0.000000
281474976710655.000000	9.040645	8514	0.000000
281474976710655.000000	9.198442	8515	0.000000
281474976710655.000000	9.001604	8516	0.000000
281474976710655.000000	9.184541	8517	0.000000
281474976710655.000000	8.777542	8518	0.000000
281474976710655.000000	9.115259	8519	0.000000
281474976710655.000000	8.837567	8520	0.000000
281474976710655.000000	8.990315	8521	0.000000
281474976710655.000000	8.895533	8522	0.000000
281474976710655.000000	9.044313	8523	0.000000
281474976710655.000000	8.646309	8524	0.000000
281474976710655.000000	8.978621	8525	0.000000
281474976710655.000000	8.609785	8526	0.000000
281474976710655.000000	9.036448	8527	0.000000
281474976710655.000000	8.696542	8528	0.000000
281474976710655.000000	8.964782	8529	0.000000
281474976710655.000000	8.575811	8530	0.000000
281474976710655.000000	9.056314	8531	0.000000
281474976710655.000000	8.537539	8532	0.000000
281474976710655.000000	8.932730	8533	0.000000
281474976710655.000000	8.728639	8534	0.000000
281474976710655.000000	8.794488	8535	0.000000
281474976710655.000000	8.706841	8536	0.000000
281474976710655.000000	8.768958	8537	0.000000
281474976710655.000000	8.638273	8538	0.000000
281474976710655.000000	8.752936	8539	0.000000
281474976710655.000000	8.485599	8540	0.000000
281474976710655.000000	8.771455	8541	0.000000
281474976710655.000000	8.508961	8542	0.000000
281474976710655.000000	8.654597	8543	0.000000
281474976710655.000000	8.518237	8544	0.000000
281474976710655.000000	8.677657	8545	0.000000
281474976710655.000000	8.459510	8546	0.000000
281474976710655.000000	8.780725	8547	0.000000
281474976710655.000000	8.412678	8548	0.000000
281474976710655.000000	8.626905	8549	0.000000
281474976710655.000000	8.411532	8550	0.000000
281474976710655.000000	8.639069	8551	0.000000
281474976710655.000000	8.347168	8552	0.000000
281474976710655.000000	8.733006	8553	0.000000
281474976710655.000000	8.304167	8554	0.000000
281474976710655.000000	8.539055	8555	0.000000
281474976710655.000000	8.414598	8556	0.000000
281474976710655.000000	8.608185	8557	0.000000
281474976710655.000000	8.421501	8558	0.000000
281474976710655.000000	8.405169	8559	0.000000
281474976710655.000000	8.346556	8560	0.000000
281474976710655.000000	8.604332	8561	0.000000
281474976710655.000000	8.298730	8562	0.000000
281474976710655.000000	8.474422	8563	0.000000
281474976710655.000000	8.271164	8564	0.000000
281474976710655.000000	8.568916	8565	0.000000
281474976710655.000000	8.174395	8566	0.000000
281474976710655.000000	8.449208	8567	0.000000
281474976710655.000000	8.080881	8568	0.000000
281474976710655.000000	8.356683	8569	0.000000
281474976710655.000000	8.220305	8570	0.000000
281474976710655.000000	8.431033	8571	0.000000
281474976710655.000000	8.021711	8572	0.000000
281474976710655.000000	8.445718	8573	0.000000
281474976710655.000000	8.098387	8574	0.000000
281474976710655.000000	8.327703	8575	0.000000
281474976710655.000000	8.097968	8576	0.000000
281474976710655.000000	8.145988	8577	0.000000
281474976710655.000000	8.132739	8578	0.000000
281474976710655.000000	8.097726	8579	0.000000
281474976710655.000000	8.110297	8580	0.000000
281474976710655.000000	8.076715	8581	0.000000
281474976710655.000000	8.206465	8582	0.000000
281474976710655.000000	8.144319	8583	0.000000
281474976710655.000000	8.072934	8584	0.000000
281474976710655.000000	8.138330	8585	0.000000
281474976710655.000000	7.891808	8586	0.000000
281474976710655.000000	8.119280	8587	0.000000
281474976710655.000000	7.884862	8588	0.000000
281474976710655.000000	8.307798	8589	0.000000
281474976710655.000000	7.828174	8590	0.000000
281474976710655.000000	8.160747	8591	0.000000
281474976710655.000000	7.801237	8592	0.000000
281474976710655.000000	8.249907	8593	0.000000
281474976710655.000000	7.721510	8594	0.000000
281474976710655.000000	8.180388	8595	0.000000
281474976710655.000000	7.713883	8596	0.000000
281474976710655.000000	7.986682	8597	0.000000
281474976710655.000000	7.781550	8598	0.000000
281474976710655.000000	8.100586	8599	0.000000
281474976710655.000000	7.719165	8600	0.000000
281474976710655.000000	7.939725	8601	0.000000
281474976710655.000000	7.649830	8602	0.000000
281474976710655.000000	8.081261	8603	0.000000
281474976710655.000000	7.554204	8604	0.000000
281474976710655.000000	8.030884	8605	0.000000
281474976710655.000000	7.591787	8606	0.000000
281474976710655.000000	8.062982	8607	0.000000
281474976710655.000000	7.661960	8608	0.000000
281474976710655.000000	7.852333	8609	0.000000
281474976710655.000000	7.628940	8610	0.000000
281474976710655.000000	7.910029	8611	0.000000
281474976710655.000000	7.642646	8612	0.000000
281474976710655.000000	7.871403	8613	0.000000
281474976710655.000000	7.644114	8614	0.000000
281474976710655.000000	7.782613	8615	0.000000
281474976710655.000000	7.650145	8616	0.000000
281474976710655.000000	7.730923	8617	0.000000
281474976710655.000000	7.630547	8618	0.000000
281474976710655.000000	7.695724	8619	0.000000
281474976710655.000000	7.606922	8620	0.000000
281474976710655.000000	7.789528	8621	0.000000
281474976710655.000000	7.461343	8622	0.000000
281474976710655.000000	7.742229	8623	0.000000
281474976710655.000000	7.444140	8624	0.000000
281474976710655.000000	7.849742	8625	0.000000
281474976710655.000000	7.358444	8626	0.000000
281474976710655.000000	7.788528	8627	0.000000
281474976710655.000000	7.396957	8628	0.000000
281474976710655.000000	7.743011	8629	0.000000
281474976710655.000000	7.325548	8630	0.000000
281474976710655.000000	7.737008	8631	0.000000
281474976710655.000000	7.236087	8632	0.000000
281474976710655.000000	7.671107	8633	0.000000
281474976710655.000000	7.224638	8634	0.000000
281474976710655.000000	7.619673	8635	0.000000
281474976710655.000000	7.183790	8636	0.000000
281474976710655.000000	7.696541	8637	0.000000
281474976710655.000000	7.170027	8638	0.000000
281474976710655.000000	7.722877	8639	0.000000
281474976710655.000000	7.192036	8640	0.000000
281474976710655.000000	7.687286	8641	0.000000
281474976710655.000000	7.167181	8642	0.000000
281474976710655.000000	7.615814	8643	0.000000
281474976710655.000000	7.193923	8644	0.000000
281474976710655.000000	7.664094	8645	0.000000
281474976710655.000000	7.110679	8646	0.000000
281474976710655.000000	7.545243	8647	0.000000
281474976710655.000000	7.072804	8648	0.000000
281474976710655.000000	7.599167	8649	0.000000
281474976710655.000000	7.148211	8650	0.000000
281474976710655.000000	7.407575	8651	0.000000
281474976710655.000000	7.143487	8652	0.000000
281474976710655.000000	7.337415	8653	0.000000
281474976710655.000000	7.165596	8654	0.000000
281474976710655.000000	7.216256	8655	0.000000
281474976710655.000000	7.230618	8656	0.000000
281474976710655.000000	7.270800	8657	0.000000
281474976710655.000000	7.176342	8658	0.000000
281474976710655.000000	7.306291	8659	0.000000
281474976710655.000000	7.136268	8660	0.000000
281474976710655.000000	7.330120	8661	0.000000
281474976710655.000000	6.984204	8662	0.000000
281474976710655.000000	7.318002	8663	0.000000
281474976710655.000000	6.933195	8664	0.000000
281474976710655.000000	7.326427	8665	0.000000
281474976710655.000000	6.798193	8666	0.000000
281474976710655.000000	7.269016	8667	0.000000
281474976710655.000000	6.793034	8668	0.000000
281474976710655.000000	7.342306	8669	0.000000
281474976710655.000000	6.796153	8670	0.000000
281474976710655.000000	7.297458	8671	0.000000
281474976710655.000000	6.729482	8672	0.000000
281474976710655.000000	7.291652	8673	0.000000
281474976710655.000000	6.735095	8674	0.000000
281474976710655.000000	7.224725	8675	0.000000
281474976710655.000000	6.670236	8676	0.000000
281474976710655.000000	7.096315	8677	0.000000
281474976710655.000000	6.661123	8678	0.000000
281474976710655.000000	7.172541	8679	0.000000
281474976710655.000000	6.625751	8680	0.000000
281474976710655.000000	7.142981	8681	0.000000
281474976710655.000000	6.685914	8682	0.000000
281474976710655.000000	7.091588	8683	0.000000
281474976710655.000000	6.763902	8684	0.000000
281474976710655.000000	7.031265	8685	0.000000
281474976710655.000000	6.735148	8686	0.000000
281474976710655.000000	7.046526	8687	0.000000
281474976710655.000000	6.806161	8688	0.000000
281474976710655.000000	6.868636	8689	0.000000
281474976710655.000000	6.733159	8690	0.000000
281474976710655.000000	6.788258	8691	0.000000
