num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
10801	144313.702774	74.469329	2.302205	-0.486180	69.845448
10803	144315.789452	75.769912	2.215708	-0.489975	75.314385
10805	144317.877919	75.356590	3.219996	-0.486788	71.963651
10807	144319.965350	74.848088	2.385094	-0.486091	74.342742
10809	144322.052757	76.327101	2.348246	-0.490689	71.874533
10811	144324.139831	73.665669	2.334675	-0.466969	74.238167
10813	144326.227346	76.515993	2.394145	-0.490706	76.351108
10815	144328.315452	78.219255	3.806020	-0.496213	75.029187
10817	144330.402625	75.488050	2.532399	-0.485547	76.310688
10819	144332.490709	76.949341	2.466975	-0.491858	73.290558
10821	144334.577843	75.783428	2.694577	-0.486654	78.426946
10823	144336.665299	75.570456	2.557306	-0.483222	72.859952
10825	144338.752834	77.262702	2.587361	-0.491523	76.418855
10827	144340.840871	76.606187	3.714475	-0.483376	75.643028
10829	144342.927661	76.696373	3.711636	-0.483865	77.587629
10831	144345.015275	76.224469	2.836897	-0.485926	76.977299
10833	144347.102678	77.458237	2.639433	-0.487790	73.843281
10835	144349.190454	78.193330	4.074932	-0.497096	75.025953
10837	144351.277757	79.192767	4.098984	-0.498745	78.155408
10839	144353.365175	77.364849	3.876927	-0.484257	76.191870
10841	144355.452818	77.174670	4.071910	-0.482838	77.487498
10843	144357.539811	75.365317	2.991209	-0.466437	74.404345
10845	144359.627664	78.345232	2.933283	-0.491391	77.749317
10847	144361.714683	76.989431	3.117445	-0.485315	76.959124
10849	144363.802324	78.442800	3.020706	-0.490541	77.364506
10851	144365.888821	78.642472	4.294005	-0.496892	79.498640
10853	144367.976777	77.347492	3.252610	-0.485258	75.346164
10855	144370.063572	76.336370	2.876921	-0.479988	79.378621
10857	144372.151118	77.241847	3.162988	-0.481630	78.584786
10859	144374.238727	78.879559	3.184143	-0.489379	76.942692
10861	144376.326106	79.558775	4.493734	-0.495833	78.854704
10863	144378.413342	76.592127	3.294024	-0.460097	80.500248
10865	144380.500585	77.614731	3.267324	-0.480701	77.282608
10867	144382.587775	79.139027	3.366280	-0.486808	81.401670
10869	144384.675431	80.327716	4.726826	-0.494573	78.591768
10871	144386.762693	78.066015	3.515630	-0.483095	79.712819
10873	144388.850612	79.819447	3.471013	-0.485497	79.753658
10875	144390.937818	78.847142	4.638183	-0.482329	79.956006
10877	144393.025203	79.996139	4.766511	-0.494982	80.166619
10879	144395.112884	78.298613	3.603498	-0.481649	79.438724
10881	144397.200180	79.674253	2.489685	-0.474144	81.981096
10883	144399.287668	76.829228	3.508200	-0.462008	80.334096
10885	144401.374910	79.661625	3.603557	-0.485733	80.254346
10887	144403.462484	77.455786	3.689391	-0.456918	79.346941
10889	144405.550151	80.034807	3.646008	-0.478444	82.343534
10891	144407.636984	78.718593	3.770524	-0.479975	84.274875
10893	144409.724652	80.022971	1.943929	-0.471486	79.958572
10895	144411.811978	81.872403	5.120496	-0.491149	83.038587
10897	144413.899813	81.309401	5.004199	-0.491699	78.891504
10899	144415.986772	79.693374	5.098121	-0.479555	80.997376
10901	144418.074478	77.796687	3.915655	-0.455792	82.705354
10903	144420.161750	78.902035	3.886409	-0.476063	81.980771
10905	144422.249188	78.111976	3.666436	-0.474173	81.832670
10907	144424.336386	77.981781	3.719958	-0.474183	84.311220
10909	144426.424113	79.106899	3.995669	-0.474985	82.827667
10911	144428.511408	80.892546	5.512985	-0.478886	82.523959
10913	144430.598820	81.652395	5.108725	-0.490303	80.840661
10915	144432.686509	77.810785	4.115719	-0.460751	80.560857
10917	144434.773667	78.283663	3.902512	-0.472552	79.854018
10919	144436.860935	81.146985	4.264434	-0.470877	81.442064
10921	144438.948619	78.595826	4.275607	-0.455494	83.931446
10923	144441.036243	81.007915	4.253482	-0.481097	84.622780
10925	144443.123099	78.209492	4.338698	-0.456003	80.290806
10927	144445.210854	78.722395	3.977391	-0.472262	82.414095
10929	144447.297700	79.566303	4.310256	-0.471369	85.133160
10931	144449.385255	78.877470	4.033581	-0.470409	83.656648
10933	144451.472411	81.420576	4.416011	-0.480106	85.104528
10935	144453.559648	78.777561	4.469179	-0.446614	82.465798
10937	144455.646936	81.715372	7.108415	-0.475627	83.674239
10939	144457.734107	80.091047	4.616196	-0.472537	85.731223
10941	144459.821694	79.723294	2.793749	-0.458054	86.712629
10943	144461.908938	79.116448	4.624933	-0.452205	86.800639
10945	144463.996332	81.518145	4.577348	-0.476195	81.633032
10947	144466.083759	80.191178	4.687271	-0.470387	82.765763
10949	144468.170982	81.666270	4.706098	-0.474830	85.749293
10951	144470.258550	82.583680	5.581545	-0.481552	81.142997
10953	144472.345659	80.416167	4.840033	-0.470798	83.761975
10955	144474.432769	82.457092	7.104910	-0.474264	85.474532
10957	144476.519765	79.435385	4.828271	-0.443458	84.247799
10959	144478.607265	81.975703	4.872818	-0.473539	84.845038
10961	144480.694774	80.560584	4.920355	-0.468128	85.488136
10963	144482.782001	82.069560	4.930220	-0.473098	83.429462
10965	144484.869412	83.125510	5.797258	-0.479761	84.052065
10967	144486.956753	80.746787	5.069232	-0.466980	85.188189
10969	144489.043844	82.138223	5.013472	-0.472042	83.679258
10971	144491.131290	83.087435	5.983154	-0.476331	86.349421
10973	144493.218999	79.694385	5.091435	-0.441281	82.338342
10975	144495.305929	79.825279	4.792201	-0.462128	85.171125
10977	144497.393679	79.907269	4.818876	-0.461649	82.438341
10979	144499.480766	82.526619	5.140458	-0.470079	86.156281
10981	144501.568143	81.586939	6.455793	-0.462770	84.535281
10983	144503.655500	81.008241	5.262282	-0.462885	83.310009
10985	144505.742705	80.872749	5.203165	-0.460073	85.342238
10987	144507.830333	82.602995	3.145912	-0.451975	85.220895
