time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
144064.256181	29.514746	0.011682	2.526446	70
144065.300693	29.061567	0.011757	2.471826	71
144066.329102	37.782116	0.011686	3.233052	72
144067.385119	31.408270	0.011710	2.682093	73
144068.433654	27.931273	0.011701	2.387113	74
144069.465434	33.863152	0.011697	2.895011	75
144070.514041	36.546349	0.011688	3.126778	76
144071.562639	28.288200	0.011700	2.417861	77
144072.600068	31.582649	0.011718	2.695328	78
144073.643829	32.936039	0.011722	2.809817	79
144074.692083	30.817312	0.011690	2.636295	80
144075.724716	34.471584	0.011720	2.941208	81
144076.772173	34.144760	0.011691	2.920646	82
144077.821551	30.174749	0.011699	2.579328	83
144078.869832	27.673637	0.011689	2.367415	84
144079.901372	34.355923	0.011722	2.930952	85
144080.950698	33.495338	0.011690	2.865185	86
144081.999316	27.810160	0.011718	2.373266	87
144083.031620	34.067871	0.011675	2.917984	88
144084.080834	32.471573	0.011673	2.781706	89
144085.129316	29.384493	0.011697	2.512091	90
144086.161724	34.360199	0.011695	2.938130	91
144087.209368	33.948479	0.011690	2.904141	92
144088.257645	30.009842	0.011698	2.565467	93
144089.299823	31.245684	0.011717	2.666720	94
144090.338544	34.383801	0.011692	2.940756	95
144091.380363	35.591541	0.011710	3.039512	96
144092.436223	27.553125	0.011711	2.352800	97
144093.468855	34.233028	0.011696	2.926896	98
144094.524079	26.995296	0.011691	2.309145	99
144095.571486	25.395643	0.011701	2.170322	100
144096.603323	31.006908	0.011707	2.648569	101
144097.645708	33.794289	0.011700	2.888421	102
144098.693990	30.533234	0.011711	2.607197	103
144099.742579	27.973843	0.011697	2.391518	104
144100.775464	33.383976	0.011690	2.855696	105
144101.825270	30.771381	0.011691	2.631975	106
144102.871777	26.590466	0.011722	2.268362	107
144103.904957	34.173042	0.011724	2.914859	108
144104.953226	28.647577	0.011687	2.451210	109
144106.001526	30.341095	0.011701	2.593117	110
144107.034098	34.665672	0.011688	2.965972	111
144108.082644	33.251343	0.011687	2.845050	112
144109.131198	27.306591	0.011689	2.336088	113
144110.179978	27.500256	0.011678	2.354777	114
144111.212106	31.625715	0.011708	2.701320	115
144112.261513	31.489561	0.011688	2.694141	116
144113.293608	33.800854	0.011696	2.889998	117
144114.349984	31.259645	0.011671	2.678383	118
144115.383477	33.478729	0.011692	2.863359	119
144116.438326	30.803522	0.011689	2.635188	120
144117.473166	30.572512	0.011689	2.615489	121
144118.519862	33.935204	0.011747	2.888855	122
