crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	80.382805	13109	146780110848.000000
281474976710655.000000	56.673809	13110	146781126656.000000
281474976710655.000000	157.929520	13111	146782191616.000000
281474976710655.000000	76.576523	13112	146783223808.000000
281474976710655.000000	74.725784	13113	146784272384.000000
281474976710655.000000	Inf	13114	146785304576.000000
281474976710655.000000	Inf	13115	146786353152.000000
281474976710655.000000	36.635204	13116	146787401728.000000
281474976710655.000000	80.758965	13117	146788450304.000000
281474976710655.000000	49.426250	13118	146789482496.000000
281474976710655.000000	71.195274	13119	146790531072.000000
281474976710655.000000	72.513626	13120	146791579648.000000
281474976710655.000000	79.801796	13121	146792628224.000000
281474976710655.000000	77.989510	13122	146793660416.000000
281474976710655.000000	39.589588	13123	146794708992.000000
281474976710655.000000	50.911476	13124	146795741184.000000
281474976710655.000000	149.637466	13125	146796806144.000000
281474976710655.000000	54.521370	13126	146797838336.000000
281474976710655.000000	37.979664	13127	146798886912.000000
281474976710655.000000	126.258369	13128	146799935488.000000
281474976710655.000000	78.002762	13129	146800967680.000000
281474976710655.000000	73.601448	13130	146802016256.000000
281474976710655.000000	146.844070	13131	146803064832.000000
281474976710655.000000	49.052586	13132	146804097024.000000
281474976710655.000000	40.045620	13133	146805145600.000000
281474976710655.000000	78.191635	13134	146806177792.000000
281474976710655.000000	77.974884	13135	146807242752.000000
281474976710655.000000	37.834763	13136	146808274944.000000
281474976710655.000000	72.964058	13137	146809323520.000000
281474976710655.000000	74.049744	13138	146810355712.000000
281474976710655.000000	82.719604	13139	146811404288.000000
281474976710655.000000	79.418533	13140	146812452864.000000
281474976710655.000000	82.340881	13141	146813501440.000000
281474976710655.000000	79.515335	13142	146814533632.000000
281474976710655.000000	38.888523	13143	146815582208.000000
281474976710655.000000	48.812965	13144	146816630784.000000
281474976710655.000000	154.948151	13145	146817662976.000000
281474976710655.000000	82.360123	13146	146818711552.000000
281474976710655.000000	78.834221	13147	146819760128.000000
281474976710655.000000	82.801216	13148	146820808704.000000
281474976710655.000000	79.192932	13149	146821840896.000000
281474976710655.000000	84.704086	13150	146822889472.000000
281474976710655.000000	37.920040	13151	146823938048.000000
281474976710655.000000	50.728123	13152	146824970240.000000
281474976710655.000000	52.916023	13153	146826018816.000000
281474976710655.000000	78.018219	13154	146827067392.000000
281474976710655.000000	74.857437	13155	146828115968.000000
281474976710655.000000	149.418900	13156	146829148160.000000
281474976710655.000000	77.078697	13157	146830196736.000000
281474976710655.000000	48.398468	13158	146831228928.000000
281474976710655.000000	79.143921	13159	146832293888.000000
281474976710655.000000	74.488930	13160	146833326080.000000
281474976710655.000000	50.848194	13161	146834374656.000000
281474976710655.000000	73.486298	13162	146835406848.000000
281474976710655.000000	59.229717	13163	146836455424.000000
281474976710655.000000	50.828842	13164	146837504000.000000
281474976710655.000000	38.676903	13165	146838536192.000000
281474976710655.000000	73.154091	13166	146839584768.000000
281474976710655.000000	38.129616	13167	146840633344.000000
281474976710655.000000	50.537067	13168	146841665536.000000
281474976710655.000000	81.894264	13169	146842730496.000000
281474976710655.000000	82.143158	13170	146843762688.000000
281474976710655.000000	42.279850	13171	146844811264.000000
281474976710655.000000	158.717834	13172	146845843456.000000
281474976710655.000000	40.126934	13173	146846892032.000000
281474976710655.000000	74.171066	13174	146847940608.000000
281474976710655.000000	79.553505	13175	146848989184.000000
281474976710655.000000	83.890770	13176	146850021376.000000
281474976710655.000000	84.707527	13177	146851069952.000000
281474976710655.000000	80.997482	13178	146852118528.000000
281474976710655.000000	62.824287	13179	146853150720.000000
281474976710655.000000	80.464722	13180	146854199296.000000
281474976710655.000000	81.286324	13181	146855247872.000000
281474976710655.000000	149.759735	13182	146856280064.000000
281474976710655.000000	52.725433	13183	146857328640.000000
281474976710655.000000	75.816231	13184	146858377216.000000
281474976710655.000000	160.849625	13185	146859409408.000000
281474976710655.000000	157.538696	13186	146860457984.000000
281474976710655.000000	85.090576	13187	146861506560.000000
281474976710655.000000	41.513779	13188	146862555136.000000
281474976710655.000000	80.709320	13189	146863587328.000000
281474976710655.000000	79.582123	13190	146864635904.000000
281474976710655.000000	38.686184	13191	146865684480.000000
281474976710655.000000	38.314140	13192	146866716672.000000
281474976710655.000000	54.546082	13193	146867765248.000000
281474976710655.000000	Inf	13194	146868813824.000000
281474976710655.000000	83.455437	13195	146869862400.000000
281474976710655.000000	80.186188	13196	146870894592.000000
281474976710655.000000	80.583870	13197	146871943168.000000
281474976710655.000000	51.697388	13198	146872975360.000000
281474976710655.000000	Inf	13199	146874040320.000000
281474976710655.000000	Inf	13200	146875072512.000000
281474976710655.000000	80.583832	13201	146876121088.000000
