phase	duration	avgnrg	numhalfcycles	elapsedtime	lifetime_s	lifetime_asq	deltanrg	coilnrg	nrgloss	coiladj
25	5	16.728	142	148.2	1063	1018	1.511	4.044	2.479	0.986646884
25	5	16.482	126	131.5	866	1101	1.467	3.617	2.168	1.0049765
25	5	16.881	126	131.5	953	954	1.319	3.617	2.22	0.978435167
25	7	13.445	240	250.45	524.68	524.62	11.603	16.949	4.265	0.936220426
25	7	15.213	123	129.39	411.31	410.92	5.04	8.643	2.473	0.869258359
25	7	14.085	126	131.483	356.96	353.79	5.694	8.992	2.346	0.894128114
30	5	14.028	122	127.282	1074.81	942.18	1.847	4.163	2.262	0.987028585
30	5	12.596	126	131.459	925.45	1023.74	2.342	4.928	2.098	0.900974026
30	5	13.14	122	127.278	753.56	813.02	2.311	4.406	2.119	1.005447118
30	7	14.725	126	127.3	1629	1038	1.982	3.82	1.875	1.009685864
30	7	14.109	126	127.3	1291	1056	2.199	4.015	1.796	0.99501868
30	7	15.23	126	127.3	1599	1806	1.271	3.684	1.939	0.871335505
30	10	15.526	126	131.5	1061	1249	2.593	4.898	2.044	0.946712944
30	10	16.044	126	131.5	1394	1417	2.653	4.59	2.11	1.037690632
30	10	16.06	120	125.25	1343	1506	2.215	4.343	2.011	0.973060097
35	7	13.015	122	127.281	2170.6	1822.8	1.1	3.173	2.065	0.997478727
35	7	12.849	122	127.289	1892.9	1676.2	0.617	3.217	2.072	0.83587193
35	7	12.627	122	127.29	1855.6	1447.3	1.706	3.343	2.036	1.119353874
35	10	14.422	124	129.4	1481	1889	1.452	3.712	1.866	0.893857759
35	10	15.315	122	127.3	4316	3466	1.839	3.184	1.95	1.190012563
35	10	14.809	126	131.4	2250	2369	1.116	3.472	1.947	0.882200461
35	15	15.55	132	137.8	1307	1549	1.596	4.588	2.142	0.814734089
35	15	15.532	122	127.3	1302	1843	1.769	4.311	1.978	0.869171886
35	15	15.602	136	141.9	1743	1725	1.366	4.379	2.215	0.817766613
40	5	12.673	122	127.3	2613.3	2672.5	-0.471	1.252	1.613	0.912140575
40	5	12.203	122	127.3	2235.08	5098.19	0.194	1.42	1.554	1.230985915
40	5	6.631	122	127.3	-355.2	-357.2	2.28	3.369	0.844	0.927278124
40	7	11.264	143	150.229	1383.65	1310.25	0.327	2.665	2.129	0.921575985
40	7	11.875	126	127.4	1389.089	1360.58	0.552	3.1	2.612	1.020645161
40	7	12.11	122	127.4	1386.05	1347.81	0.482	2.775	1.903	0.859459459
